dt - E_045 - var_045 - E_050 - var_055 - E_055 - var_055 
5.0 & 157.61903 & 0.071902255 & 75.0 & 0.0 & -33.115885 & 0.15727773 \\ 
1.0 & 81.914181 & 2.7663067 & 75.0 & 0.0 & 66.580094 & 3.3966835 \\ 
0.5 & 77.725856 & 1.377653 & 75.0 & 0.0 & 72.613732 & 1.2777738 \\ 
0.1 & 75.782634 & 0.94651912 & 75.0 & 0.0 & 74.899048 & 0.77371191 \\ 
0.05 & 75.576107 & 0.90292008 & 75.0 & 0.0 & 75.178674 & 0.72629768 \\ 
0.01 & 75.403278 & 0.94754697 & 75.0 & 0.0 & 75.40823 & 0.64962701 \\ 
0.005 & 75.542336 & 0.94235454 & 75.0 & 0.0 & 75.316061 & 0.78474903 \\ 
0.001 & 75.232976 & 1.7598811 & 75.0 & 0.0 & 75.428937 & 1.0919924 \\ 
0.0005 & 74.727296 & 1.5052653 & 75.0 & 0.0 & 75.47438 & 1.2539088 \\ 
0.0001 & 73.522572 & 2.6555115 & 75.0 & 0.0 & 76.968488 & 2.1917234 \\ 
0.00005 & 72.295514 & 3.1046527 & 75.0 & 0.0 & 78.099886 & 2.1625642 \\ 
0.00001 & 69.872239 & 0.57174375 & 75.0 & 0.0 & 79.882077 & 0.29891238 \\ 
