alpha         energy       variance
  0.1      38.135163      80.708248
 0.15      27.447412      36.265465
  0.2      21.302362      15.886111
 0.25       18.59179      8.1947901
  0.3       17.13588      4.3092619
 0.35      16.010013      2.0394577
  0.4      15.364436     0.78923557
 0.45      15.069952     0.15925863
  0.5             15              0
 0.55      15.066331     0.13732698
  0.6      15.254151     0.51831492
 0.65      15.490299      1.0872086
  0.7       15.90876      1.8806273
 0.75      16.335323        2.48299
  0.8      16.694031      3.6926971
 
Timeused: 10.1
