alpha         energy       variance      time_used
  0.1      14.625575      45.040164       0.653033
 0.15      11.058668      21.485748       0.647034
  0.2      8.7844498      5.1473537        0.64821
 0.25      7.2687754      2.1020297       0.649763
  0.3      6.5473421      1.4979918       0.659905
 0.35      6.4813645     0.92971666       0.661154
  0.4      6.0694362     0.23189964       0.673332
 0.45      6.1135276    0.083209992       0.674473
  0.5              6              0       0.653395
 0.55      6.0115803    0.069052762       0.647652
  0.6      6.0671345     0.25018787       0.649467
 0.65      6.2423038     0.40407511       0.649584
  0.7      6.5356101      0.6026232       0.647884
