alpha         energy       variance
  0.1       23.71892      52.141374
 0.15      17.657597      30.300384
  0.2       12.99284      6.3813103
 0.25      12.188262      4.9059762
  0.3      10.920953      2.5282595
 0.35      10.602946      1.1981491
  0.4       10.29913     0.51508654
 0.45      9.9518331    0.086030599
  0.5             10              0
 0.55      10.021024    0.085932203
  0.6      10.192568     0.34694135
 0.65      10.479231     0.55378911
  0.7       10.80066      1.0775231
 0.75       10.95246       1.895791
  0.8       11.17569      2.0890378
 
Timeused: 10.1
