alpha         energy       variance
  0.1      26.219612      62.449191
 0.15      18.258273      22.982948
  0.2      14.600691      11.443044
 0.25      12.580514      6.1993225
  0.3       11.42528      2.8352757
 0.35      10.788364      1.4414671
  0.4      10.254473     0.53387246
 0.45      10.021388     0.09899727
  0.5             10  1.7053026e-13
 0.55        10.0541     0.08755239
  0.6      10.151605     0.35125965
 0.65      10.356772     0.70110527
  0.7      10.505111      1.2936208
 0.75      10.863272      1.6583485
  0.8      11.143083      2.2799641
 
Timeused: 10.1
