Omega = 0.1   Energy = 0.0507685005656783
Omega = 0.2   Energy = 0.100697660495258
Omega = 0.3   Energy = 0.149912547266176
Omega = 0.4   Energy = 0.201181188107038
Omega = 0.5   Energy = 0.249760897657481
Omega = 0.6   Energy = 0.300380701749821
Omega = 0.7   Energy = 0.349857579776897
Omega = 0.8   Energy = 0.400248609121509
Omega = 0.9   Energy = 0.449938577026867
Omega = 1   Energy = 0.500093005316653
Omega = 2   Energy = 1.00001243917618
Omega = 3   Energy = 1.49976896099163

std vekter = 0.1
