Omega = 0.1   Energy = 0.252463070184053
Omega = 0.2   Energy = 0.257988334921609
Omega = 0.3   Energy = 0.162629118370204
Omega = 0.4   Energy = 0.207559415411015
Omega = 0.5   Energy = 0.253001021159003
Omega = 0.6   Energy = 0.339655117821471
Omega = 0.7   Energy = 0.372382559323085
Omega = 0.8   Energy = 0.400198808194329
Omega = 0.9   Energy = 0.45266476900845
Omega = 1   Energy = 0.500047478621961
Omega = 2   Energy = 1.25196355735102
Omega = 3   Energy = 2.50438706844833


std vekter = 0.1
